"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"hsa04261" "hsa04261" "Adrenergic signaling in cardiomyocytes" "9/461" "150/8102" 0.484467371815085 0.977857101638308 0.91197370699681 "183/7170/9254/489/6324/483/478/482/5502" 9
"hsa03015" "hsa03015" "mRNA surveillance pathway" "6/461" "98/8102" 0.487507271007893 0.977857101638308 0.91197370699681 "26019/26528/10978/1479/4440/65109" 6
"hsa03040" "hsa03040" "Spliceosome" "9/461" "151/8102" 0.492561071797845 0.977857101638308 0.91197370699681 "3303/3304/3310/3312/51645/6628/6627/83443/3305" 9
"hsa01200" "hsa01200" "Carbon metabolism" "7/461" "116/8102" 0.492587852643689 0.977857101638308 0.91197370699681 "4967/2805/6470/3419/50/283871/6390" 7
"hsa04145" "hsa04145" "Phagosome" "9/461" "152/8102" 0.500621713404063 0.977857101638308 0.91197370699681 "949/3134/3107/535/11151/533/3135/7277/3106" 9
"hsa04020" "hsa04020" "Calcium signaling pathway" "14/461" "240/8102" 0.501759863210181 0.977857101638308 0.91197370699681 "3708/5979/2324/255231/2065/7852/57118/489/55283/57192/292/5336/2261/3706" 14
"hsa05205" "hsa05205" "Proteoglycans in cancer" "12/461" "205/8102" 0.502754847488279 0.977857101638308 0.91197370699681 "3708/5291/7430/7855/2065/1839/8326/5336/7074/8325/8503/7483" 12
"hsa04662" "hsa04662" "B cell receptor signaling pathway" "5/461" "82/8102" 0.503261961103754 0.977857101638308 0.91197370699681 "5291/4793/4772/5336/8503" 5
"hsa04927" "hsa04927" "Cortisol synthesis and secretion" "4/461" "65/8102" 0.510357711061942 0.980765596036106 0.914686240774288 "3708/183/949/3164" 4
"hsa04722" "hsa04722" "Neurotrophin signaling pathway" "7/461" "119/8102" 0.519955402827535 0.980765596036106 0.914686240774288 "5291/4793/6195/4804/5336/5580/8503" 7
"hsa05146" "hsa05146" "Amoebiasis" "6/461" "102/8102" 0.527018235427658 0.980765596036106 0.914686240774288 "5291/10319/284217/3569/384/8503" 6
"hsa03450" "hsa03450" "Non-homologous end-joining" "1/461" "13/8102" 0.533339577777185 0.980765596036106 0.914686240774288 "2237" 1
"hsa00052" "hsa00052" "Galactose metabolism" "2/461" "31/8102" 0.533522050191027 0.980765596036106 0.914686240774288 "55276/2717" 2
"hsa04710" "hsa04710" "Circadian rhythm" "2/461" "31/8102" 0.533522050191027 0.980765596036106 0.914686240774288 "406/1407" 2
"hsa04672" "hsa04672" "Intestinal immune network for IgA production" "3/461" "49/8102" 0.533774575599679 0.980765596036106 0.914686240774288 "3569/7852/23308" 3
"hsa04720" "hsa04720" "Long-term potentiation" "4/461" "67/8102" 0.534545212426465 0.980765596036106 0.914686240774288 "3708/2033/6195/5502" 4
"hsa04012" "hsa04012" "ErbB signaling pathway" "5/461" "85/8102" 0.535566254973858 0.980765596036106 0.914686240774288 "5291/2065/1839/5336/8503" 5
"hsa04974" "hsa04974" "Protein digestion and absorption" "6/461" "103/8102" 0.53670560304256 0.980765596036106 0.914686240774288 "6520/8645/483/1298/478/482" 6
"hsa04620" "hsa04620" "Toll-like receptor signaling pathway" "6/461" "104/8102" 0.546308072015139 0.988940285981588 0.922310158707327 "5291/3627/3569/6352/8503/6373" 6
"hsa04979" "hsa04979" "Cholesterol metabolism" "3/461" "50/8102" 0.547621656732475 0.988940285981588 0.922310158707327 "949/348/9388" 3
"hsa04136" "hsa04136" "Autophagy - other" "2/461" "32/8102" 0.550869692092302 0.988988277616004 0.922354916892004 "23130/84971" 2
"hsa05211" "hsa05211" "Renal cell carcinoma" "4/461" "69/8102" 0.558124175494011 0.991479683651102 0.924678463751413 "5291/2033/112399/8503" 4
"hsa05132" "hsa05132" "Salmonella infection" "14/461" "249/8102" 0.558716564402738 0.991479683651102 0.924678463751413 "5291/5286/3569/147700/3326/5420/54205/9267/6932/7186/8797/3320/7277/57617" 14
"hsa04928" "hsa04928" "Parathyroid hormone synthesis, secretion and action" "6/461" "106/8102" 0.56524254964985 0.996776499594385 0.929618405244892 "3708/4929/1839/409/9368/4324" 6
"hsa05230" "hsa05230" "Central carbon metabolism in cancer" "4/461" "70/8102" 0.569670207467832 0.996776499594385 0.929618405244892 "5291/5979/2261/8503" 4
"hsa05235" "hsa05235" "PD-L1 expression and PD-1 checkpoint pathway in cancer" "5/461" "89/8102" 0.57708069756289 0.996776499594385 0.929618405244892 "5291/4793/4772/55509/8503" 5
"hsa04024" "hsa04024" "cAMP signaling pathway" "12/461" "216/8102" 0.57731239491485 0.996776499594385 0.929618405244892 "5291/2033/4772/489/483/610/7074/4852/478/482/8503/6750" 12
"hsa00040" "hsa00040" "Pentose and glucuronate interconversions" "2/461" "34/8102" 0.584184192525697 0.996776499594385 0.929618405244892 "51181/6652" 2
"hsa00603" "hsa00603" "Glycosphingolipid biosynthesis - globo and isoglobo series" "1/461" "15/8102" 0.585017844271823 0.996776499594385 0.929618405244892 "2717" 1
"hsa00604" "hsa00604" "Glycosphingolipid biosynthesis - ganglio series" "1/461" "15/8102" 0.585017844271823 0.996776499594385 0.929618405244892 "2583" 1
"hsa04961" "hsa04961" "Endocrine and other factor-regulated calcium reabsorption" "3/461" "53/8102" 0.587676046992129 0.996776499594385 0.929618405244892 "483/478/482" 3
"hsa05218" "hsa05218" "Melanoma" "4/461" "72/8102" 0.592249502700875 0.999014271039388 0.931705406215373 "5291/10912/8503/1869" 4
"hsa00350" "hsa00350" "Tyrosine metabolism" "2/461" "36/8102" 0.615640215984432 0.999999999997487 0.932624721410309 "2805/259307" 2
"hsa05323" "hsa05323" "Rheumatoid arthritis" "5/461" "93/8102" 0.616557478330095 0.999999999997487 0.932624721410309 "4314/535/3569/6352/533" 5
"hsa03013" "hsa03013" "RNA transport" "10/461" "186/8102" 0.620159309911879 0.999999999997487 0.932624721410309 "50628/10799/23225/138716/26019/4927/23165/1917/65109/54913" 10
"hsa04918" "hsa04918" "Thyroid hormone synthesis" "4/461" "75/8102" 0.624773781658264 0.999999999997487 0.932624721410309 "3708/483/478/482" 4
"hsa04932" "hsa04932" "Non-alcoholic fatty liver disease" "8/461" "150/8102" 0.626544860254171 0.999999999997487 0.932624721410309 "1050/5291/10018/3569/54205/7186/8503/6390" 8
"hsa05212" "hsa05212" "Pancreatic cancer" "4/461" "76/8102" 0.635243149595655 0.999999999997487 0.932624721410309 "5291/10912/8503/1869" 4
"hsa05220" "hsa05220" "Chronic myeloid leukemia" "4/461" "76/8102" 0.635243149595655 0.999999999997487 0.932624721410309 "5291/10912/8503/1869" 4
"hsa04670" "hsa04670" "Leukocyte transendothelial migration" "6/461" "114/8102" 0.636889314061101 0.999999999997487 0.932624721410309 "5291/7430/7852/5336/50848/8503" 6
"hsa01212" "hsa01212" "Fatty acid metabolism" "3/461" "57/8102" 0.637420675962622 0.999999999997487 0.932624721410309 "2180/79993/6785" 3
"hsa04923" "hsa04923" "Regulation of lipolysis in adipocytes" "3/461" "57/8102" 0.637420675962622 0.999999999997487 0.932624721410309 "5291/4852/8503" 3
"hsa04270" "hsa04270" "Vascular smooth muscle contraction" "7/461" "133/8102" 0.638978079454919 0.999999999997487 0.932624721410309 "3708/183/79784/5583/5580/10267/10266" 7
"hsa05414" "hsa05414" "Dilated cardiomyopathy" "5/461" "96/8102" 0.644700528617157 0.999999999997487 0.932624721410309 "183/7170/9254/284217/489" 5
"hsa05131" "hsa05131" "Shigellosis" "13/461" "246/8102" 0.650095740501867 0.999999999997487 0.932624721410309 "3708/7314/5291/4793/1729/6352/54205/9267/7186/5336/64121/5580/8503" 13
"hsa00061" "hsa00061" "Fatty acid biosynthesis" "1/461" "18/8102" 0.652025231449634 0.999999999997487 0.932624721410309 "2180" 1
"hsa04721" "hsa04721" "Synaptic vesicle cycle" "4/461" "78/8102" 0.655608761371615 0.999999999997487 0.932624721410309 "10497/535/533/6809" 4
"hsa00564" "hsa00564" "Glycerophospholipid metabolism" "5/461" "98/8102" 0.662729434702472 0.999999999997487 0.932624721410309 "150763/23761/162466/79888/1040" 5
"hsa04140" "hsa04140" "Autophagy - animal" "7/461" "137/8102" 0.669700080377327 0.999999999997487 0.932624721410309 "3708/5291/23130/64121/5580/8503/84971" 7
"hsa01240" "hsa01240" "Biosynthesis of cofactors" "8/461" "156/8102" 0.670238912316302 0.999999999997487 0.932624721410309 "4522/6470/80308/2643/129607/211/8836/6697" 8
"hsa04640" "hsa04640" "Hematopoietic cell lineage" "5/461" "99/8102" 0.671518769367365 0.999999999997487 0.932624721410309 "100133941/1440/3569/2057/1604" 5
"hsa04935" "hsa04935" "Growth hormone synthesis, secretion and action" "6/461" "119/8102" 0.677938082876329 0.999999999997487 0.932624721410309 "3708/5291/2033/5336/8503/6750" 6
"hsa00532" "hsa00532" "Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate" "1/461" "20/8102" 0.690583310512012 0.999999999997487 0.932624721410309 "26229" 1
"hsa05142" "hsa05142" "Chagas disease" "5/461" "102/8102" 0.696972053232965 0.999999999997487 0.932624721410309 "5291/3569/6352/8503/2775" 5
"hsa00380" "hsa00380" "Tryptophan metabolism" "2/461" "42/8102" 0.698991651407074 0.999999999997487 0.932624721410309 "1543/259307" 2
"hsa00860" "hsa00860" "Porphyrin and chlorophyll metabolism" "2/461" "42/8102" 0.698991651407074 0.999999999997487 0.932624721410309 "3162/211" 2
"hsa05152" "hsa05152" "Tuberculosis" "9/461" "180/8102" 0.703486896343519 0.999999999997487 0.932624721410309 "3329/2033/535/3569/11151/533/54205/3313/1054" 9
"hsa00310" "hsa00310" "Lysine degradation" "3/461" "63/8102" 0.703879421285637 0.999999999997487 0.932624721410309 "6839/79723/2146" 3
"hsa04975" "hsa04975" "Fat digestion and absorption" "2/461" "43/8102" 0.711328363865496 0.999999999997487 0.932624721410309 "949/84649" 2
"hsa04060" "hsa04060" "Cytokine-cytokine receptor interaction" "15/461" "295/8102" 0.712772920911681 0.999999999997487 0.932624721410309 "7133/3627/8744/1440/3569/6352/7852/2057/654/84957/58191/4804/8797/1271/6373" 15
"hsa04911" "hsa04911" "Insulin secretion" "4/461" "86/8102" 0.729254310140643 0.999999999997487 0.932624721410309 "483/478/482/885" 4
"hsa04659" "hsa04659" "Th17 cell differentiation" "5/461" "107/8102" 0.736309377676305 0.999999999997487 0.932624721410309 "4793/4772/3569/3326/3320" 5
"hsa00515" "hsa00515" "Mannose type O-glycan biosynthesis" "1/461" "23/8102" 0.740574102365507 0.999999999997487 0.932624721410309 "8703" 1
"hsa03060" "hsa03060" "Protein export" "1/461" "23/8102" 0.740574102365507 0.999999999997487 0.932624721410309 "90701" 1
"hsa04022" "hsa04022" "cGMP-PKG signaling pathway" "8/461" "167/8102" 0.741856410605926 0.999999999997487 0.932624721410309 "3708/4772/152/489/483/292/478/482" 8
"hsa04380" "hsa04380" "Osteoclast differentiation" "6/461" "128/8102" 0.743942351406492 0.999999999997487 0.932624721410309 "5291/4772/2354/7186/5336/8503" 6
"hsa00830" "hsa00830" "Retinol metabolism" "3/461" "68/8102" 0.75182875557807 0.999999999997487 0.932624721410309 "29785/1543/220" 3
"hsa04137" "hsa04137" "Mitophagy - animal" "3/461" "68/8102" 0.75182875557807 0.999999999997487 0.932624721410309 "7314/1869/192111" 3
"hsa04664" "hsa04664" "Fc epsilon RI signaling pathway" "3/461" "68/8102" 0.75182875557807 0.999999999997487 0.932624721410309 "5291/5336/8503" 3
"hsa04727" "hsa04727" "GABAergic synapse" "4/461" "89/8102" 0.753640344636614 0.999999999997487 0.932624721410309 "55879/10991/2775/9001" 4
"hsa00534" "hsa00534" "Glycosaminoglycan biosynthesis - heparan sulfate / heparin" "1/461" "24/8102" 0.755377337767104 0.999999999997487 0.932624721410309 "26229" 1
"hsa00514" "hsa00514" "Other types of O-glycan biosynthesis" "2/461" "47/8102" 0.75650470751737 0.999999999997487 0.932624721410309 "8703/6480" 2
"hsa00620" "hsa00620" "Pyruvate metabolism" "2/461" "47/8102" 0.75650470751737 0.999999999997487 0.932624721410309 "3029/97" 2
"hsa00280" "hsa00280" "Valine, leucine and isoleucine degradation" "2/461" "48/8102" 0.766800923251331 0.999999999997487 0.932624721410309 "27034/259307" 2
"hsa04658" "hsa04658" "Th1 and Th2 cell differentiation" "4/461" "92/8102" 0.776303612485771 0.999999999997487 0.932624721410309 "4793/4772/3714/10683" 4
"hsa00565" "hsa00565" "Ether lipid metabolism" "2/461" "49/8102" 0.776716938045019 0.999999999997487 0.932624721410309 "5050/79888" 2
"hsa04950" "hsa04950" "Maturity onset diabetes of the young" "1/461" "26/8102" 0.782502811411564 0.999999999997487 0.932624721410309 "3280" 1
"hsa04970" "hsa04970" "Salivary secretion" "4/461" "93/8102" 0.783483214020858 0.999999999997487 0.932624721410309 "3708/483/478/482" 4
"hsa05010" "hsa05010" "Alzheimer disease" "18/461" "369/8102" 0.786238904896711 0.999999999997487 0.932624721410309 "3708/5291/23130/3569/7855/489/147700/5709/54205/7186/8326/292/8325/7277/8503/348/7483/6390" 18
"hsa04350" "hsa04350" "TGF-beta signaling pathway" "4/461" "94/8102" 0.790478805957355 0.999999999997487 0.932624721410309 "4756/2033/25805/654" 4
"hsa05135" "hsa05135" "Yersinia infection" "6/461" "137/8102" 0.799656098827565 0.999999999997487 0.932624721410309 "5291/4772/3569/6195/7186/8503" 6
"hsa04810" "hsa04810" "Regulation of actin cytoskeleton" "10/461" "218/8102" 0.802562763958074 0.999999999997487 0.932624721410309 "5291/1729/7430/7852/79784/9170/2261/7074/79837/8503" 10
"hsa04666" "hsa04666" "Fc gamma R-mediated phagocytosis" "4/461" "97/8102" 0.810384605019835 0.999999999997487 0.932624721410309 "5291/5336/5580/8503" 4
"hsa05418" "hsa05418" "Fluid shear stress and atherosclerosis" "6/461" "139/8102" 0.810674614972391 0.999999999997487 0.932624721410309 "5291/5590/3162/3326/3320/8503" 6
"hsa03320" "hsa03320" "PPAR signaling pathway" "3/461" "76/8102" 0.815372391976956 0.999999999997487 0.932624721410309 "2180/2171/28965" 3
"hsa05100" "hsa05100" "Bacterial invasion of epithelial cells" "3/461" "77/8102" 0.822258212922102 0.999999999997487 0.932624721410309 "5291/23607/8503" 3
"hsa04630" "hsa04630" "JAK-STAT signaling pathway" "7/461" "162/8102" 0.822973920463341 0.999999999997487 0.932624721410309 "5291/2033/1440/3569/2057/8503/1271" 7
"hsa05415" "hsa05415" "Diabetic cardiomyopathy" "9/461" "203/8102" 0.824466817350038 0.999999999997487 0.932624721410309 "183/5291/5590/9945/489/292/5580/8503/6390" 9
"hsa00030" "hsa00030" "Pentose phosphate pathway" "1/461" "30/8102" 0.828079170356222 0.999999999997487 0.932624721410309 "55276" 1
"hsa00410" "hsa00410" "beta-Alanine metabolism" "1/461" "30/8102" 0.828079170356222 0.999999999997487 0.932624721410309 "54498" 1
"hsa04611" "hsa04611" "Platelet activation" "5/461" "124/8102" 0.84197643615424 0.999999999997487 0.932624721410309 "3708/5291/5590/5336/8503" 5
"hsa04064" "hsa04064" "NF-kappa B signaling pathway" "4/461" "104/8102" 0.850860624297385 0.999999999997487 0.932624721410309 "10912/7186/23586/5336" 4
"hsa04660" "hsa04660" "T cell receptor signaling pathway" "4/461" "104/8102" 0.850860624297385 0.999999999997487 0.932624721410309 "5291/4793/4772/8503" 4
"hsa04146" "hsa04146" "Peroxisome" "3/461" "82/8102" 0.853485619450777 0.999999999997487 0.932624721410309 "2180/84769/4598" 3
"hsa04072" "hsa04072" "Phospholipase D signaling pathway" "6/461" "148/8102" 0.854485211514749 0.999999999997487 0.932624721410309 "183/5291/9170/9267/5336/8503" 6
"hsa00051" "hsa00051" "Fructose and mannose metabolism" "1/461" "33/8102" 0.855887906944844 0.999999999997487 0.932624721410309 "6652" 1
"hsa04130" "hsa04130" "SNARE interactions in vesicular transport" "1/461" "33/8102" 0.855887906944844 0.999999999997487 0.932624721410309 "6809" 1
"hsa04014" "hsa04014" "Ras signaling pathway" "10/461" "232/8102" 0.858321558729389 0.999999999997487 0.932624721410309 "5291/2324/1944/4804/5336/2261/7074/6789/1943/8503" 10
"hsa04730" "hsa04730" "Long-term depression" "2/461" "60/8102" 0.863541320378993 0.999999999997487 0.932624721410309 "3708/2775" 2
"hsa04926" "hsa04926" "Relaxin signaling pathway" "5/461" "129/8102" 0.86547797768062 0.999999999997487 0.932624721410309 "5291/5590/409/8503/2775" 5
"hsa00140" "hsa00140" "Steroid hormone biosynthesis" "2/461" "61/8102" 0.86966745528789 0.999999999997487 0.932624721410309 "1543/79154" 2
"hsa00760" "hsa00760" "Nicotinate and nicotinamide metabolism" "1/461" "35/8102" 0.87188536576921 0.999999999997487 0.932624721410309 "4860" 1
"hsa05022" "hsa05022" "Pathways of neurodegeneration - multiple diseases" "22/461" "475/8102" 0.872352985516133 0.999999999997487 0.932624721410309 "3708/7314/7133/23130/10452/3569/4744/7855/489/147700/5709/54205/7186/6712/8326/292/8325/7277/27429/9001/7483/6390" 22
"hsa00500" "hsa00500" "Starch and sucrose metabolism" "1/461" "36/8102" 0.879206655763061 0.999999999997487 0.932624721410309 "55276" 1
"hsa04080" "hsa04080" "Neuroactive ligand-receptor interaction" "15/461" "341/8102" 0.882275034525706 0.999999999997487 0.932624721410309 "183/2894/55879/5179/152/9170/1138/51083/6863/4828/2150/4852/6750/1901/885" 15
"hsa04512" "hsa04512" "ECM-receptor interaction" "3/461" "88/8102" 0.884554891841271 0.999999999997487 0.932624721410309 "10319/284217/1298" 3
"hsa05014" "hsa05014" "Amyotrophic lateral sclerosis" "16/461" "364/8102" 0.889595702140676 0.999999999997487 0.932624721410309 "7133/23225/23130/10452/4744/147700/4927/5709/23165/400916/54205/7186/29979/7277/9001/6390" 16
"hsa05321" "hsa05321" "Inflammatory bowel disease" "2/461" "65/8102" 0.891726094217292 0.999999999997487 0.932624721410309 "4772/3569" 2
"hsa04725" "hsa04725" "Cholinergic synapse" "4/461" "113/8102" 0.891948361472529 0.999999999997487 0.932624721410309 "3708/5291/8503/2775" 4
"hsa05340" "hsa05340" "Primary immunodeficiency" "1/461" "38/8102" 0.892620409769767 0.999999999997487 0.932624721410309 "100" 1
"hsa04724" "hsa04724" "Glutamatergic synapse" "4/461" "114/8102" 0.895839844926225 0.999999999997487 0.932624721410309 "3708/10991/9455/2775" 4
"hsa05016" "hsa05016" "Huntington disease" "13/461" "306/8102" 0.895903589958538 0.999999999997487 0.932624721410309 "3708/23130/2033/6875/147700/5709/54205/7186/292/7277/9001/7019/6390" 13
"hsa04217" "hsa04217" "Necroptosis" "6/461" "159/8102" 0.896386739430297 0.999999999997487 0.932624721410309 "3326/7186/292/8797/3320/192111" 6
"hsa00970" "hsa00970" "Aminoacyl-tRNA biosynthesis" "2/461" "66/8102" 0.89667244080049 0.999999999997487 0.932624721410309 "92935/2193" 2
"hsa05032" "hsa05032" "Morphine addiction" "3/461" "91/8102" 0.897773760063801 0.999999999997487 0.932624721410309 "55879/409/2775" 3
"hsa05033" "hsa05033" "Nicotine addiction" "1/461" "40/8102" 0.904547475454879 0.999999999997487 0.932624721410309 "55879" 1
"hsa04912" "hsa04912" "GnRH signaling pathway" "3/461" "93/8102" 0.905814427600347 0.999999999997487 0.932624721410309 "3708/1839/5580" 3
"hsa04924" "hsa04924" "Renin secretion" "2/461" "69/8102" 0.910278246605939 0.999999999997487 0.932624721410309 "3708/183" 2
"hsa04917" "hsa04917" "Prolactin signaling pathway" "2/461" "70/8102" 0.914428074305554 0.999999999997487 0.932624721410309 "5291/8503" 2
"hsa05168" "hsa05168" "Herpes simplex virus 1 infection" "22/461" "498/8102" 0.917958642513217 0.999999999997487 0.932624721410309 "4939/5291/348327/3134/3107/27300/3569/6352/94039/57693/4940/54205/3135/7186/23586/284307/10308/4938/197320/8503/7639/3106" 22
"hsa04520" "hsa04520" "Adherens junction" "2/461" "71/8102" 0.918397459738177 0.999999999997487 0.932624721410309 "2033/6932" 2
"hsa00071" "hsa00071" "Fatty acid degradation" "1/461" "43/8102" 0.920005259901316 0.999999999997487 0.932624721410309 "2180" 1
"hsa04713" "hsa04713" "Circadian entrainment" "3/461" "97/8102" 0.920203395170396 0.999999999997487 0.932624721410309 "3708/51655/2775" 3
"hsa04962" "hsa04962" "Vasopressin-regulated water reabsorption" "1/461" "44/8102" 0.92458120917362 0.999999999997487 0.932624721410309 "360" 1
"hsa04723" "hsa04723" "Retrograde endocannabinoid signaling" "5/461" "148/8102" 0.929706161559633 0.999999999997487 0.932624721410309 "3708/55879/2166/57406/2775" 5
"hsa03050" "hsa03050" "Proteasome" "1/461" "46/8102" 0.932964319723872 0.999999999997487 0.932624721410309 "5709" 1
"hsa05140" "hsa05140" "Leishmaniasis" "2/461" "77/8102" 0.93880390779728 0.999999999997487 0.932624721410309 "4793/1917" 2
"hsa00980" "hsa00980" "Metabolism of xenobiotics by cytochrome P450" "2/461" "78/8102" 0.941695479292363 0.999999999997487 0.932624721410309 "29785/1543" 2
"hsa04921" "hsa04921" "Oxytocin signaling pathway" "5/461" "154/8102" 0.943360687955131 0.999999999997487 0.932624721410309 "3708/4772/9254/57118/2775" 5
"hsa05030" "hsa05030" "Cocaine addiction" "1/461" "49/8102" 0.943827834821278 0.999999999997487 0.932624721410309 "2354" 1
"hsa04510" "hsa04510" "Focal adhesion" "7/461" "201/8102" 0.945006940168361 0.999999999997487 0.932624721410309 "5291/10319/2324/1729/284217/1298/8503" 7
"hsa00983" "hsa00983" "Drug metabolism - other enzymes" "2/461" "80/8102" 0.947094004780233 0.999999999997487 0.932624721410309 "7083/6241" 2
"hsa04728" "hsa04728" "Dopaminergic synapse" "4/461" "132/8102" 0.947584321402985 0.999999999997487 0.932624721410309 "3708/409/406/2775" 4
"hsa05012" "hsa05012" "Parkinson disease" "9/461" "249/8102" 0.950407402978677 0.999999999997487 0.932624721410309 "3708/7314/147700/5709/54205/292/7277/27429/6390" 9
"hsa03010" "hsa03010" "Ribosome" "5/461" "158/8102" 0.951086536493468 0.999999999997487 0.932624721410309 "51116/51373/51081/29074/6183" 5
"hsa04120" "hsa04120" "Ubiquitin mediated proteolysis" "4/461" "140/8102" 0.961925978047626 0.999999999997487 0.932624721410309 "7314/26232/11065/63893" 4
"hsa04340" "hsa04340" "Hedgehog signaling pathway" "1/461" "56/8102" 0.962825780434897 0.999999999997487 0.932624721410309 "409" 1
"hsa04540" "hsa04540" "Gap junction" "2/461" "88/8102" 0.96428959174233 0.999999999997487 0.932624721410309 "3708/7277" 2
"hsa04211" "hsa04211" "Longevity regulating pathway" "2/461" "89/8102" 0.966017589750851 0.999999999997487 0.932624721410309 "5291/8503" 2
"hsa04152" "hsa04152" "AMPK signaling pathway" "3/461" "120/8102" 0.97055086223733 0.999999999997487 0.932624721410309 "5291/8900/8503" 3
"hsa05231" "hsa05231" "Choline metabolism in cancer" "2/461" "98/8102" 0.978344369854476 0.999999999997487 0.932624721410309 "5291/8503" 2
"hsa00010" "hsa00010" "Glycolysis / Gluconeogenesis" "1/461" "67/8102" 0.980582541211078 0.999999999997487 0.932624721410309 "55276" 1
"hsa05031" "hsa05031" "Amphetamine addiction" "1/461" "69/8102" 0.982746868151612 0.999999999997487 0.932624721410309 "2354" 1
"hsa00190" "hsa00190" "Oxidative phosphorylation" "3/461" "133/8102" 0.983686575909806 0.999999999997487 0.932624721410309 "535/533/6390" 3
"hsa05034" "hsa05034" "Alcoholism" "5/461" "187/8102" 0.98403630561908 0.999999999997487 0.932624721410309 "3177/2354/8520/4852/2775" 5
"hsa04613" "hsa04613" "Neutrophil extracellular trap formation" "5/461" "190/8102" 0.985854596339398 0.999999999997487 0.932624721410309 "5291/8520/292/5336/8503" 5
"hsa04922" "hsa04922" "Glucagon signaling pathway" "2/461" "107/8102" 0.986293288112665 0.999999999997487 0.932624721410309 "3708/2033" 2
"hsa04910" "hsa04910" "Insulin signaling pathway" "3/461" "137/8102" 0.986442778445834 0.999999999997487 0.932624721410309 "5291/5590/8503" 3
"hsa05133" "hsa05133" "Pertussis" "1/461" "76/8102" 0.988594123913914 0.999999999997487 0.932624721410309 "3569" 1
"hsa04726" "hsa04726" "Serotonergic synapse" "2/461" "115/8102" 0.990917752933621 0.999999999997487 0.932624721410309 "3708/2775" 2
"hsa05204" "hsa05204" "Chemical carcinogenesis" "1/461" "83/8102" 0.992462491706846 0.999999999997487 0.932624721410309 "1543" 1
"hsa04714" "hsa04714" "Thermogenesis" "6/461" "232/8102" 0.992615701494482 0.999999999997487 0.932624721410309 "8193/2180/55818/6195/388753/6390" 6
"hsa04610" "hsa04610" "Complement and coagulation cascades" "1/461" "85/8102" 0.993304271316163 0.999999999997487 0.932624721410309 "1604" 1
"hsa04742" "hsa04742" "Taste transduction" "1/461" "86/8102" 0.993689294507288 0.999999999997487 0.932624721410309 "8645" 1
"hsa04371" "hsa04371" "Apelin signaling pathway" "2/461" "137/8102" 0.997130577348855 0.999999999997487 0.932624721410309 "3708/7019" 2
"hsa05322" "hsa05322" "Systemic lupus erythematosus" "1/461" "136/8102" 0.999676518909187 0.999999999997487 0.932624721410309 "6628" 1
"hsa04740" "hsa04740" "Olfactory transduction" "1/461" "443/8102" 0.999999999997487 0.999999999997487 0.932624721410309 "409" 1
